chart_variant,candidate_name,base_ensemble,added_factor,rank_corr,top_k_cumulative_return,top_k_sharpe,top_k_hit_rate,top_bottom_spread_mean,turnover,n_rebalances,factor_vs_base_pearson,factor_vs_base_rank_corr_mean,rank_corr_diff_vs_base,bootstrap_ci_low,bootstrap_ci_high,n_dates
ohlc_ma,ensemble_best+image_factor_pc1,ensemble_best,image_factor_pc1,0.05733489294995692,1.2054376775415028,0.5093780838716755,0.5555555555555556,0.007765126861204434,0.5769230769230769,144.0,0.23179648425797134,0.24574878260132604,-0.003219085681333854,-0.015393810627743709,0.008494006493680338,2880
ohlc_ma,ensemble_4family+image_score,ensemble_4family,image_score,0.05645080131782681,0.8038503066415568,0.3994808918334972,0.5833333333333334,0.006587847801059382,0.6083916083916084,144.0,0.15793281325825984,0.20536337183691245,-0.010930542657236003,-0.02300133277942836,0.0010943228512533883,2880
ohlc_ma,ensemble_best+image_score,ensemble_best,image_score,0.051010002026226645,0.9317055263520666,0.44044045645881064,0.5555555555555556,0.006320370259383181,0.6433566433566433,144.0,0.17879564066335837,0.24159357523883812,-0.009543976605064126,-0.021515410365049035,0.0022884134644345325,2880
ohlc_volume,ensemble_4family,ensemble_4family,,0.0673813439750628,1.2395035504810274,0.5429968093752097,0.6041666666666666,0.005907418767196228,0.6013986013986014,144.0,,,0.0,0.0,0.0,2880
ohlc_volume,ensemble_best,ensemble_best,,0.06055397863129078,1.508639406967215,0.6425450304067706,0.5833333333333334,0.006180693482248947,0.6643356643356644,144.0,,,0.0,0.0,0.0,2880
ohlc_volume,ensemble_4family+image_factor_pc1,ensemble_4family,image_factor_pc1,0.05799201288791954,1.0370214661457378,0.5059691306354519,0.625,0.004154863387711358,0.5559440559440559,144.0,0.2666776241131261,0.27783258396249777,-0.009389331087143276,-0.020938492212420844,0.0023179614607983434,2880
ohlc_volume,ensemble_best+image_factor_pc1,ensemble_best,image_factor_pc1,0.05528315742351013,0.9764186467471849,0.48819066759418056,0.5972222222222222,0.0035731428353056108,0.5909090909090909,144.0,0.22651692501789186,0.2228769981446648,-0.005415905207702198,-0.017193510295904366,0.006648182289982865,2880
ohlc_volume,ensemble_4family+image_score,ensemble_4family,image_score,0.03735354565678915,0.38911403336630657,0.2624353100714802,0.5902777777777778,0.0009077757794164152,0.5909090909090909,144.0,0.13945061188943492,0.2581596966741747,-0.030027798318273662,-0.041932336882293114,-0.01782985335507128,2880
ohlc_volume,ensemble_best+image_score,ensemble_best,image_score,0.03423159377787482,0.7214716650094879,0.3775950596708957,0.5833333333333334,0.0013056226165002367,0.6328671328671329,144.0,0.13138614836621906,0.2361625355635949,-0.026322384853415957,-0.03833830177888424,-0.014311700308179624,2880
ohlc_ma_volume,ensemble_4family+image_factor_pc1,ensemble_4family,image_factor_pc1,0.07977602584541549,0.5516933409152442,0.3155021038735279,0.5694444444444444,0.004835297957968162,0.548951048951049,144.0,0.219584371366489,0.21930271834655934,0.012394681870352664,1.3290229269058142e-05,0.025049515765516946,2880
ohlc_ma_volume,ensemble_best+image_factor_pc1,ensemble_best,image_factor_pc1,0.07308915099985079,1.1635891261564906,0.510944078742562,0.5694444444444444,0.008985563477563832,0.5874125874125874,144.0,0.24547879247528828,0.24507969929680568,0.01253517236856003,0.000571769217136847,0.0244836721291574,2880
ohlc_ma_volume,ensemble_4family,ensemble_4family,,0.0673813439750628,1.2395035504810274,0.5429968093752097,0.6041666666666666,0.005907418767196228,0.6013986013986014,144.0,,,0.0,0.0,0.0,2880
ohlc_ma_volume,ensemble_4family+image_score,ensemble_4family,image_score,0.06064678946325821,0.707328150993773,0.3636972322784151,0.5694444444444444,0.004429116214912664,0.5734265734265734,144.0,0.19760901626799582,0.27943962819420065,-0.007043276260815926,-0.018536926157894214,0.004290202348406853,2880
ohlc_ma_volume,ensemble_best,ensemble_best,,0.06055397863129078,1.508639406967215,0.6425450304067706,0.5833333333333334,0.006180693482248947,0.6643356643356644,144.0,,,0.0,0.0,0.0,2880
ohlc_ma_volume,ensemble_best+image_score,ensemble_best,image_score,0.054275122258461914,0.6558482268585804,0.3592696045586667,0.5208333333333334,0.004462056266162619,0.6223776223776224,144.0,0.22930980853258104,0.31540025662310966,-0.0062788563728288635,-0.01721644503452238,0.004808121425917769,2880
high_low_range,ensemble_4family,ensemble_4family,,0.0673813439750628,1.2395035504810274,0.5429968093752097,0.6041666666666666,0.005907418767196228,0.6013986013986014,144.0,,,0.0,0.0,0.0,2880
high_low_range,ensemble_best,ensemble_best,,0.06055397863129078,1.508639406967215,0.6425450304067706,0.5833333333333334,0.006180693482248947,0.6643356643356644,144.0,,,0.0,0.0,0.0,2880
high_low_range,ensemble_4family+image_score,ensemble_4family,image_score,0.0516395226026575,0.7850096955679693,0.3811216321533401,0.5972222222222222,0.003728521941954058,0.6468531468531469,144.0,0.0813453000536509,0.13917622928621298,-0.01574182137240531,-0.029108697122834298,-0.002827150536249865,2880
high_low_range,ensemble_4family+image_factor_pc1,ensemble_4family,image_factor_pc1,0.04713748739855822,0.8108500859962051,0.3933997242980184,0.5833333333333334,0.005007015382587349,0.5909090909090909,144.0,0.11104854018221975,0.12227697055410032,-0.02000675388250496,-0.03384137694621552,-0.0066640045067758395,2880
high_low_range,ensemble_best+image_score,ensemble_best,image_score,0.04361432058495768,0.8650572242015142,0.40811591376279155,0.5902777777777778,0.0029923957013791892,0.6398601398601399,144.0,0.0665956049228216,0.12697881645458242,-0.016939658046333086,-0.03024246780255919,-0.003801330568991913,2880
high_low_range,ensemble_best+image_factor_pc1,ensemble_best,image_factor_pc1,0.039613409626384107,0.5949436175723117,0.33893748407445856,0.5555555555555556,0.003423181691105338,0.6398601398601399,144.0,0.1118442919842036,0.11384225603694102,-0.02094056900490667,-0.0343539704299246,-0.0076701837643484315,2880
