mode,k,members,rank_corr,top_k_sharpe,top_k_cum,top_k_hit
raw,2,cnn_2d_rendered_images + cnn_1d_attention_image_scale,0.01975446428571429,0.36348314785679325,0.6668925389444877,0.5902777777777778
raw,2,cnn_2d_rendered_images + cnn_1d_cumulative_scale,0.022867063492063494,0.23434374009125578,0.3074066649756071,0.5833333333333334
raw,2,cnn_2d_rendered_images + cnn_1d_dilated_image_scale,0.01872519841269842,0.26572277292865765,0.3922029674608378,0.5416666666666666
raw,2,cnn_2d_rendered_images + cnn_1d_multiscale_image_scale,0.026971726190476185,0.2556834937777385,0.36017162338092024,0.5833333333333334
raw,2,cnn_2d_rendered_images + cnn_2d_residual_images,0.017075892857142862,0.17365120049329497,0.16400513397227257,0.5694444444444444
raw,2,cnn_2d_rendered_images + cnn_2d_residual_small,0.028707837301587297,0.2550960029755017,0.3629208086922622,0.5972222222222222
raw,2,cnn_2d_rendered_images + lstm_image_scale,0.019506448412698413,0.25512959024195186,0.36160569622668093,0.5972222222222222
raw,2,cnn_2d_rendered_images + lstm_cumulative_scale,0.0014756944444444394,0.11446719345706288,0.03756852186420523,0.5416666666666666
raw,2,cnn_2d_rendered_images + cnnlstm_image_scale,0.01840277777777778,0.2440266789110175,0.3373760209979164,0.5902777777777778
raw,2,cnn_2d_rendered_images + cnnlstm_cumulative_scale,-0.0028273809523809584,0.24209766327295001,0.3370038629062386,0.5763888888888888
raw,2,cnn_1d_attention_image_scale + cnn_1d_cumulative_scale,0.02764136904761906,0.23660807784834842,0.312897420938097,0.5694444444444444
raw,2,cnn_1d_attention_image_scale + cnn_1d_dilated_image_scale,0.02748015873015873,0.41267084500079637,0.8505679683013065,0.6111111111111112
raw,2,cnn_1d_attention_image_scale + cnn_1d_multiscale_image_scale,0.021825396825396828,0.35169709864895815,0.6404303757638867,0.5972222222222222
raw,2,cnn_1d_attention_image_scale + cnn_2d_residual_images,0.031200396825396833,0.17790130724841557,0.17268455870410881,0.5555555555555556
raw,2,cnn_1d_attention_image_scale + cnn_2d_residual_small,0.03200644841269842,0.2860172990350005,0.44249437519538937,0.5763888888888888
raw,2,cnn_1d_attention_image_scale + lstm_image_scale,0.02943948412698413,0.33598157773988924,0.5953023974460903,0.5625
raw,2,cnn_1d_attention_image_scale + lstm_cumulative_scale,0.015290178571428576,0.40218077718249085,0.7914591995887135,0.5972222222222222
raw,2,cnn_1d_attention_image_scale + cnnlstm_image_scale,0.025210813492063503,0.26446256226101145,0.3968969621525955,0.5555555555555556
raw,2,cnn_1d_attention_image_scale + cnnlstm_cumulative_scale,0.008581349206349214,0.38192827680879976,0.7724297412667132,0.5833333333333334
raw,2,cnn_1d_cumulative_scale + cnn_1d_dilated_image_scale,0.035875496031746036,0.3849671443298692,0.7722675357344597,0.5902777777777778
raw,2,cnn_1d_cumulative_scale + cnn_1d_multiscale_image_scale,0.021974206349206358,0.14495394183735094,0.09510103106688383,0.5833333333333334
raw,2,cnn_1d_cumulative_scale + cnn_2d_residual_images,0.02460317460317461,0.2385850219930635,0.32838420062059104,0.5347222222222222
raw,2,cnn_1d_cumulative_scale + cnn_2d_residual_small,0.04275793650793651,0.28773012366374723,0.45148660582602496,0.5972222222222222
raw,2,cnn_1d_cumulative_scale + lstm_image_scale,0.05137648809523812,0.2642369938086846,0.39551658493144437,0.5972222222222222
raw,2,cnn_1d_cumulative_scale + lstm_cumulative_scale,0.0014880952380952378,0.3549711977321812,0.6342152679580695,0.5555555555555556
raw,2,cnn_1d_cumulative_scale + cnnlstm_image_scale,0.0433779761904762,0.40018839158485126,0.7651989803809391,0.5625
raw,2,cnn_1d_cumulative_scale + cnnlstm_cumulative_scale,0.0005704365079365089,0.3422641063817469,0.5323156411149113,0.5694444444444444
raw,2,cnn_1d_dilated_image_scale + cnn_1d_multiscale_image_scale,0.021701388888888895,0.2441961862668584,0.3430148483875377,0.5486111111111112
raw,2,cnn_1d_dilated_image_scale + cnn_2d_residual_images,0.03426339285714286,0.19175592094340374,0.20788682248294377,0.5555555555555556
raw,2,cnn_1d_dilated_image_scale + cnn_2d_residual_small,0.03431299603174604,0.2862914608933692,0.4659537724638987,0.5763888888888888
raw,2,cnn_1d_dilated_image_scale + lstm_image_scale,0.03278769841269842,0.30785776537627213,0.5372725405095797,0.5902777777777778
raw,2,cnn_1d_dilated_image_scale + lstm_cumulative_scale,0.022681051587301587,0.2991484211648962,0.4976643892559305,0.5833333333333334
raw,2,cnn_1d_dilated_image_scale + cnnlstm_image_scale,0.03148561507936509,0.1962374124871344,0.22121665486074948,0.5555555555555556
raw,2,cnn_1d_dilated_image_scale + cnnlstm_cumulative_scale,0.010478670634920641,0.32854831201353984,0.5878698210617588,0.5972222222222222
raw,2,cnn_1d_multiscale_image_scale + cnn_2d_residual_images,0.02538442460317461,0.19224638873294908,0.20247974693018866,0.5555555555555556
raw,2,cnn_1d_multiscale_image_scale + cnn_2d_residual_small,0.0316468253968254,0.21135516575812976,0.2505113187161161,0.5902777777777778
raw,2,cnn_1d_multiscale_image_scale + lstm_image_scale,0.03521825396825397,0.2501998773205589,0.35548128185064676,0.5902777777777778
raw,2,cnn_1d_multiscale_image_scale + lstm_cumulative_scale,0.011817956349206356,0.3788915727287378,0.7670422269533981,0.5902777777777778
raw,2,cnn_1d_multiscale_image_scale + cnnlstm_image_scale,0.030766369047619063,0.20829152435003395,0.24809863074839633,0.5833333333333334
raw,2,cnn_1d_multiscale_image_scale + cnnlstm_cumulative_scale,0.003149801587301584,0.5302844584890559,1.0829180333783133,0.5763888888888888
raw,2,cnn_2d_residual_images + cnn_2d_residual_small,0.04486607142857144,0.19204552387065568,0.21607477801171027,0.5625
raw,2,cnn_2d_residual_images + lstm_image_scale,0.04497767857142858,0.3284290784135486,0.5653992512810575,0.5694444444444444
raw,2,cnn_2d_residual_images + lstm_cumulative_scale,0.016765873015873012,0.1979030661660257,0.23343067624000025,0.5347222222222222
raw,2,cnn_2d_residual_images + cnnlstm_image_scale,0.04136904761904763,0.2786416098921509,0.4366891770573398,0.5833333333333334
raw,2,cnn_2d_residual_images + cnnlstm_cumulative_scale,0.011582341269841276,0.22193959395310583,0.28113565351070613,0.5416666666666666
raw,2,cnn_2d_residual_small + lstm_image_scale,0.05680803571428573,0.19799926264567194,0.22957818431159605,0.5694444444444444
raw,2,cnn_2d_residual_small + lstm_cumulative_scale,0.03000992063492064,0.3285774421975231,0.5603663148963569,0.5902777777777778
raw,2,cnn_2d_residual_small + cnnlstm_image_scale,0.057886904761904764,0.3486068961514047,0.635948094317335,0.5972222222222222
raw,2,cnn_2d_residual_small + cnnlstm_cumulative_scale,0.018712797619047625,0.30107003322011194,0.503675175114247,0.5833333333333334
